ID,Session0_Pilot1,Configuration,Period,Subject,Group,Profit,TotalProfit,Participate,conf,treat,orden,profit,totalProfit,totalEuros,totalPay,eurosFS,conF1,conF2,conF3,conF4,conF5,ownCon,groupF1,groupF2,groupF3,groupF4,groupF5,FS1G,FS2G,FS3G,FS4G,FS5G,sumFSG,cumSumFS,profF1,profF2,profF3,profF4,profF5,hasDecided,oldGroupF1,oldGroupF2,oldGroupF3,oldGroupF4,oldGroupF5,remainECU,age,gender,studies,level,q1,q2,q3,q4,q5,rand,ranking,screen,TimeAnteriorTutorialOK,TimeContinuarTutorialOK,TimeEmpezarTutorialOK,secsTime,remainTime,show,LeaveStage,TimeCuntoMeQuedaDecOK,TimeAceptarDecOK,maxValue1,minValue1,total,aRandCon[1],aRandCon[2],aRandCon[3],aRandCon[4],aRandCon[5],aRandCon[6],i,itRandCon,con_i,TimeContinuarEndPartOK,TimeEmpezarIniPart2OK,TimeContinuarQuestionsOK,sumaE_FS,TimeOKPaymentOK,timing
1,0,1,1,1,4,0,0,0,1,2,2,108.2775,108.2775,0,0,0,10,20,25,30,15,0,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,100,26,1,,,-1,-1,-1,-1,-1,0.44408603,32,11,-567,-576,-647,-1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,2
2,0,1,1,2,5,0,0,0,1,1,1,139.485,139.485,0,0,0,90,10,0,0,0,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,100,21,1,,,-1,-1,-1,-1,-1,0.216592952,47,11,0,-613,-616,-1,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
3,0,1,1,3,1,0,0,0,1,1,1,134.0925,134.0925,0,0,0,2,9,0,27,62,0,165,169,239,234,193,0,8.45,23.9,35.1,38.6,106.05,10.605,24.75,24.0825,32.265,29.835,23.16,0,0,0,0,0,0,100,49,1,,,-1,-1,-1,-1,-1,0.894968773,7,11,0,-427,-650,-1,0,0,0,0,0,2,0,5,5,3,2,4,1,0,6,1,2,-,-,-,-,-,0
4,0,1,1,4,2,0,0,0,1,2,2,178.17,178.17,0,0,0,0,0,10,0,0,90,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,100,58,0,,,-1,-1,-1,-1,-1,0.753903971,13,11,0,-375,-379,-1,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
5,0,1,1,5,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,35,25,20,15,5,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,0,18,0,,,-1,-1,-1,-1,-1,0.580842303,22,11,0,-153,-155,-1,36,0,0,39,37,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
6,0,1,1,6,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,15,30,35,15,5,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,100,18,1,,,-1,-1,-1,-1,-1,0.49903354,30,11,0,-254,-257,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
7,0,1,1,7,6,0,0,0,1,2,2,140.4075,140.4075,0,0,0,42,0,0,0,1,57,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,21,1,,,-1,-1,-1,-1,-1,0.098743431,56,11,0,-181,-183,-1,38,0,0,59,39,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
8,0,1,1,8,6,0,0,0,1,2,2,168.4075,168.4075,0,0,0,1,2,3,4,5,85,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,85,23,0,,,-1,-1,-1,-1,-1,0.148584577,51,11,0,-405,-407,-1,32,0,0,36,32,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
9,0,1,1,9,5,0,0,0,1,1,1,139.485,139.485,0,0,0,50,20,10,10,10,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,0,24,0,,,-1,-1,-1,-1,-1,0.277740543,41,11,0,-259,-261,-1,25,0,0,26,24,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
10,0,1,1,10,6,0,0,0,1,2,2,93.4075,93.4075,0,0,0,0,15,15,20,40,10,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,24,1,,,-1,-1,-1,-1,-1,0.11892289,53,11,0,-401,-648,-1,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
11,0,1,1,11,4,0,0,0,1,2,2,143.2775,143.2775,0,0,0,0,10,15,30,10,35,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,35,18,1,,,-1,-1,-1,-1,-1,0.332023182,36,11,0,-206,-208,-1,33,0,0,35,33,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
12,0,1,1,12,6,0,0,0,1,2,2,103.4075,103.4075,0,0,0,10,10,20,20,20,20,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,39,1,,,-1,-1,-1,-1,-1,0.131890271,52,11,-277,-389,-392,-1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
13,0,1,1,13,4,0,0,0,1,2,2,108.2775,108.2775,0,0,0,70,15,10,5,0,0,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,0,29,0,,,-1,-1,-1,-1,-1,0.313621675,37,11,0,-345,-348,-1,7,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
14,0,1,1,14,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,30,20,20,20,10,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,0,46,1,,,-1,-1,-1,-1,-1,0.525412971,26,11,0,-261,-266,-1,12,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,2
15,0,1,1,15,4,0,0,0,1,2,2,108.2775,108.2775,0,0,0,0,0,0,10,90,0,200,116,95,219,175,0,5.8,9.5,32.85,35,83.15,8.315,30,16.53,12.825,27.9225,21,1,0,0,0,0,0,0,27,1,,,-1,-1,-1,-1,-1,0.411064855,33,11,-213,-292,-294,-1,41,0,0,43,41,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
16,0,1,1,16,5,0,0,0,1,1,1,139.485,139.485,0,0,0,70,15,5,5,5,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,0,23,0,,,-1,-1,-1,-1,-1,0.241358633,45,11,0,-342,-344,-1,30,0,0,36,29,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
17,0,1,1,17,6,0,0,0,1,2,2,83.4075,83.4075,0,0,0,0,0,0,0,100,0,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,0,0,0,0,0,0,100,18,1,,,-1,-1,-1,-1,-1,0.112023373,54,11,0,-377,-380,-1,0,0,0,0,0,0,0,6,5,3,6,4,2,1,7,3,0,-,-,-,-,-,0
18,0,1,1,18,2,0,0,0,1,2,2,172.17,172.17,0,0,0,5,2,2,3,4,84,128,160,119,142,100,0,8,11.9,21.3,20,61.2,6.12,19.2,22.8,16.065,18.105,12,1,0,0,0,0,0,100,21,1,,,-1,-1,-1,-1,-1,0.683853479,18,11,0,-451,-454,-1,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
19,0,1,1,19,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,3,2,12,2,81,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,0,0,0,0,0,0,69,21,1,,,-1,-1,-1,-1,-1,0.548776244,24,11,0,-386,-389,-1,0,0,0,12,0,2,0,5,5,3,1,4,2,0,6,1,2,-,-,-,-,-,0
20,0,1,1,20,5,0,0,0,1,1,1,139.485,139.485,0,0,0,10,10,10,20,50,0,479,134,80,120,187,0,6.7,8,18,37.4,70.1,7.01,71.85,19.095,10.8,15.3,22.44,1,0,0,0,0,0,0,24,1,,,-1,-1,-1,-1,-1,0.256703223,43,11,0,-221,-232,-1,8,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1
21,0,1,1,21,6,0,0,0,1,2,2,148.4075,148.4075,0,0,0,5,5,10,10,5,65,203,52,93,79,191,0,2.6,9.3,11.85,38.2,61.95,6.195,30.45,7.41,12.555,10.0725,22.92,1,0,0,0,0,0,100,22,1,,,-1,-1,-1,-1,-1,0.039488538,58,11,0,-253,-255,-1,26,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
22,0,1,1,22,3,0,0,0,1,1,1,134.6925,134.6925,0,0,0,5,10,40,40,5,0,233,147,202,182,236,0,7.35,20.2,27.3,47.2,102.05,10.205,34.95,20.9475,27.27,23.205,28.32,1,0,0,0,0,0,100,24,1,,,-1,-1,-1,-1,-1,0.509257973,29,11,0,-293,-296,-1,17,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0
